C (MLE),Nc,C*
67993,1,67993.0
15830,1,15830.0
13723,1,13723.0
13462,1,13462.0
12881,1,12881.0
12879,1,12879.0
10974,1,10974.0
10810,2,10810.0
9830,1,9830.0
9571,1,9571.0
9511,1,9511.0
9267,1,9267.0
9146,1,9146.0
8645,1,8645.0
8222,1,8222.0
7913,1,7913.0
7696,1,7696.0
7580,1,7580.0
7526,1,7526.0
7378,1,7378.0
6859,1,6859.0
6634,1,6634.0
6467,1,6467.0
5485,1,5485.0
5436,1,5436.0
5208,1,5208.0
5205,1,5205.0
5034,1,5034.0
4957,1,4957.0
4926,1,4926.0
4665,1,4665.0
4646,1,4646.0
4135,1,4135.0
4033,1,4033.0
4020,1,4020.0
3989,1,3989.0
3967,1,3967.0
3943,1,3943.0
3857,1,3857.0
3832,1,3832.0
3807,1,3807.0
3802,1,3802.0
3761,1,3761.0
3748,1,3748.0
3619,1,3619.0
3613,1,3613.0
3565,1,3565.0
3479,1,3479.0
3409,1,3409.0
3265,1,3265.0
3204,1,3204.0
3169,1,3169.0
3133,1,3133.0
3073,1,3073.0
3047,1,3047.0
3044,1,3044.0
3029,1,3029.0
2996,1,2996.0
2967,1,2967.0
2940,1,2940.0
2854,1,2854.0
2852,1,2852.0
2837,1,2837.0
2828,1,2828.0
2814,1,2814.0
2761,1,2761.0
2748,1,2748.0
2730,1,2730.0
2661,1,2661.0
2639,1,2639.0
2612,1,2612.0
2604,1,2604.0
2564,1,2564.0
2560,1,2560.0
2539,1,2539.0
2536,1,2536.0
2477,1,2477.0
2470,1,2470.0
2467,1,2467.0
2458,1,2458.0
2420,1,2420.0
2405,1,2405.0
2380,1,2380.0
2358,1,2358.0
2343,1,2343.0
2341,1,2341.0
2329,1,2329.0
2316,1,2316.0
2298,1,2298.0
2288,1,2288.0
2286,1,2286.0
2285,1,2286.0
2281,1,2281.0
2280,1,2281.0
2247,1,2247.0
2238,1,2238.0
2191,1,2191.0
2154,2,2154.0
2123,1,2123.0
2090,1,2090.0
